row_ID;item_ID;Director;Country;Language;Year;Genre1;Genre2;Genre3;Actor1;Actor2;Actor3;Budget;IMDB_Link;Title;Num_of_Ratings
13;13;Paul W. S. Anderson;United States;English;2010;Action;Horror;Sci-Fi;Milla Jovovich;Ali Larter;Kim Coates;60000000;http://www.imdb.com/title/tt1220634/;RESIDENT EVIL: AFTERLIFE;6
14;14;Frank Oz;United Kingdom;English;2007;Comedy;0;0;Matthew Macfadyen;Peter Dinklage;Rupert Graves;9000000;http://www.imdb.com/title/tt0795368/;DEATH AT A FUNERAL (UK);2
15;15;Don Siegel;United States;English;1971;Action;Crime;Thriller;Clint Eastwood;Andy Robinson;Harry Guardino;4000000;http://www.imdb.com/title/tt0066999/;DIRTY HARRY;3
16;16;Phillip Noyce;United States;English;2010;Action;Mystery;Thriller;Angelina Jolie;Liev Schreiber;Chiwetel Ejiofor;110000000;http://www.imdb.com/title/tt0944835/;SALT;11
17;17;Jonathan Lynn;United Kingdom;English;2010;Action;Comedy;Crime;Bill Nighy;Emily Blunt;Rupert Grint;8000000;http://www.imdb.com/title/tt1235189/;WILD TARGET;3
18;18;Sylvester Stallone;United States;English;2010;Action;Adventure;Thriller;Sylvester Stallone;Bruce Willis;Mickey Rourke;82000000;http://www.imdb.com/title/tt1320253/;THE EXPENDABLES;13
19;19;Roberto Benigni;Italy;Italian;2005;Comedy;Drama;Romance;Roberto Benigni;Jean Reno;Nicoletta Braschi;35000000;http://www.imdb.com/title/tt0419198/;LA TIGRE E LA NEVE;2
20;20;Roman Polanski;France;English;2010;Drama;Mystery;Thriller;Ewan McGregor;Pierce Brosnan;Olivia Williams;45000000;http://www.imdb.com/title/tt1139328/;THE GHOST WRITER;3
21;21;Lars von Trier;Denmark;English;2009;Drama;Horror;0;Willem Dafoe;Charlotte Gainsbourg;Storm Acheche Sahlstrom;11000000;http://www.imdb.com/title/tt0870984/;ANTICHRIST;1
22;22;Takeshi Kitano;Japan;Japanese;1991;Romance;0;0;Claude Maki;Hiroko Oshima;Sabu Kawahara;0;http://www.imdb.com/title/tt0103704/;A SCENE AT THE SEA;2
23;23;Jorma Taccone;United States;English;2010;Action;Comedy;0;Will Forte;Kristen Wiig;Ryan Phillippe;10000000;http://www.imdb.com/title/tt1470023/;MACGRUBER;1
24;24;Wolfgang Petersen;United States;English;2006;Action;Adventure;Drama;Kurt Russell;Josh Lucas;Jacinda Barrett;160000000;http://www.imdb.com/title/tt0409182/;POSEIDON;1
25;25;Renny Harlin;United States;English;1990;Action;Crime;Thriller;Bruce Willis;William Sadler;Art Evans;70000000;http://www.imdb.com/title/tt0099423/;DIE HARD 2;4
26;26;Duncan Jones;United Kingdom;English;2009;Sci-Fi;Mystery;Drama;Sam Rockwell;Kevin Spacey;Dominique McElligott;5000000;http://www.imdb.com/title/tt1182345/;MOON;3
27;27;Martha Coolidge;United States;English;2004;Comedy;Romance;0;Julia Stiles;Luke Mably;Ben Miller;0;http://www.imdb.com/title/tt0337697/;THE PRINCE AND ME;2
28;28;Forest Whitaker;United States;English;1998;Drama;Romance;0;Sandra Bullock;Harry Connick, Jr.;Gena Rowlands;30000000;http://www.imdb.com/title/tt0119313/;HOPE FLOATS;1
29;29;Michael Bay;United States;English;2003;Action;Comedy;Crime;Will Smith;Martin Lawrence;Jordi Molla;130000000;http://www.imdb.com/title/tt0172156/;BAD BOYS 2;4
30;30;David Fincher;United States;English;1995;Crime;Drama;Mystery;Brad Pitt;Morgan Freeman;Gwyneth Paltrow;30000000;http://www.imdb.com/title/tt0114369/;SEVEN;10
31;31;Woody Allen;United States;English;2008;Drama;Romance;0;Javier Bardem;Penelope Cruz;Scarlett Johansson;15000000;http://www.imdb.com/title/tt0497465/;VICKY CRISTINA BARCELONA;3
32;32;Francis Lawrence;United States;English;2007;Drama;Sci-Fi;Thriller;Will Smith;Alice Braga;Charlie Tahan;150000000;http://www.imdb.com/title/tt0480249/;I AM LEGEND;7
33;33;Jonathan Dayton;United States;English;2006;Adventure;Comedy;Drama;Greg Kinnear;Toni Collette;Abigail Breslin;8000000;http://www.imdb.com/title/tt0449059/;LITTLE MISS SUNSHINE;5
34;34;Tony Scott;United States;English;1991;Action;Comedy;Crime;Bruce Willis;Damon Wayans;Danielle Harris;0;http://www.imdb.com/title/tt0102266/;THE LAST BOY SCOUT;5
35;35;Slobodan Sijan;Srbija;Srbscina;1980;Comedy;0;0;Pavle Vujisic;Dragan Nikolic;Bata Stojkovic;0;http://www.imdb.com/title/tt0076276/;KO TO TAMO PEVA;4
36;36;Mikael Hafstrom;United States;English;2007;Horror;Thriller;0;John Cusack;Samuel L. Jackson;Mary McCormack;22200000;http://www.imdb.com/title/tt0450385/;1408;2
37;37;Emir Kusturica;Srbija;Serbian;1998;Comedy;Music;Romance;Bajram Severdzan;Srdan Todorovic;Florijan Ajdini;0;http://www.imdb.com/title/tt0118843/;CRNA MACKA BELI MACOR;4
38;38;Banksy;United Kingdom;English;2010;Documentary;Comedy;0;Thierry Guetta;Banksy;Shepard Fairey;0;http://www.imdb.com/title/tt1587707/;EXIT THROUGH THE GIFT SHOP;13
39;39;Terry Gilliam;United Kingdom;English;2009;Adventure;Fantasy;Mystery;Heath Ledger;Christopher Plummer;Verne Troyer;18000000;http://www.imdb.com/title/tt1054606/;THE IMAGINARIUM OF DOCTOR PARNASSUS;7
40;40;Doug Liman;United States;English;2005;Action;Adventure;Comedy;Brad Pitt;Angelina Jolie;Vince Vaughn;110000000;http://www.imdb.com/title/tt0356910/;MR AND MRS SMITH;3
41;41;Brandon Vietti;United States;English;2010;Action;Animation;Crime;Bruce Greenwood;Neil Patrick Harris;Jensen Ackles;0;http://www.imdb.com/title/tt1569923/;BATMAN UNDER THE RED HOOD;1
42;42;Joe Carnahan;United States;English;2010;Action;Adventure;Thriller;Liam Neeson;Bradley Cooper;Quinton Jackson;110000000;http://www.imdb.com/title/tt0429493/;A TEAM;4
43;43;John Landis;United States;English;1994;Action;Comedy;Crime;Eddie Murphy;Judge Reinhold;Hector Elizondo;50000000;http://www.imdb.com/title/tt0109254/;BEVERLY HILLS COP 3;3
44;44;John Irvin;United Kingdom;English;2001;Action;Drama;Thriller;Jeremy Irons;Forest Whitaker;Jason Priestley;0;http://www.imdb.com/title/tt0254334/;THE FOURTH ANGEL;2
45;45;Joel Schumacher;United States;English;1993;Crime;Drama;Thriller;Michael Douglas;Robert Duvall;Barbara Hershey;25000000;http://www.imdb.com/title/tt0106856/;FALLING DOWN;3
46;46;Hugh Wilson;United States;English;1999;Comedy;Drama;Romance;Brendan Fraser;Alicia Silverstone;Christopher Walken;35000000;http://www.imdb.com/title/tt0124298/;BLAST FROM THE PAST;1
47;47;Christopher Nolan;United States;English;2010;Action;Mystery;Sci-Fi;Leonardo DiCaprio;Ken Watanabe;Joseph Gordon-Levitt;160000000;http://www.imdb.com/title/tt1375666/;INCEPTION;47
48;48;Richard Berry;France;French;2010;Action;Crime;Thriller;Jean Reno;Kad Merad;Richard Berry;20000000;http://www.imdb.com/title/tt1167638/;22 BULLETS;2
49;49;Nanette Burstein;United States;English;2010;Comedy;Romance;0;Drew Barrymore;Justin Long;Charlie Day;32000000;http://www.imdb.com/title/tt1322312/;GOING THE DISTANCE;3
50;50;Juliusz Machulski;Poland;Polish;1984;Adventure;Comedy;Sci-Fi;Olgierd  Jerzy Stuhr;Beata Lukaszewicz;Tyszkiewicz;0;http://www.imdb.com/title/tt0088083/;SEXMISSION;1
51;51;James McTeigue;United States;English;2005;Action;Sci-Fi;Thriller;Hugo Weaving;Natalie Portman;Stephen Rea;54000000;http://www.imdb.com/title/tt0434409/;V FOR VENDETTA;9
52;52;Joss Whedon;United States;English;2005;Action;Adventure;Sci-Fi;Nathan Fillion;Gina Torres;Alan Tudyk;39000000;http://www.imdb.com/title/tt0379786/;SERENITY;4
53;53;Miguel Arteta;United States;English;2010;Comedy;Drama;Romance;Michael Cera;Portia Doubleday;Jean Smart;18000000;http://www.imdb.com/title/tt0403702/;YOUTH IN REVOLT;3
54;54;Nicolas Winding Refn;Denmark;English;2009;Action;Adventure;0;Mads Mikkelsen;Jamie Sives;Gary Lewis;10000000;http://www.imdb.com/title/tt0862467/;VALHALLA RISING;6
55;55;Kevin Heffernan;United States;English;2009;Comedy;0;0;Jay Chandrasekhar;Kevin Heffernan;Steve Lemme;0;http://www.imdb.com/title/tt1135525/;THE SLAMMIN SALMON;4
56;56;James McTeigue;United States;English;2009;Action;Crime;Drama;Rain;Naomie Harris;Ben Miles;40000000;http://www.imdb.com/title/tt1186367/;NINJA ASSASSIN;2
57;57;Paul Thomas Anderson;United States;English;1997;Drama;0;0;Mark Wahlberg;Burt Reynolds;Julianne Moore;15000000;http://www.imdb.com/title/tt0118749/;BOOGIE NIGHTS;2
58;58;Joe Johnston;United Kingdom;English;2010;Drama;Horror;Thriller;Benicio del Toro;Anthony Hopkins;Emily Blunt;150000000;http://www.imdb.com/title/tt0780653/;THE WOLFMAN;3
59;59;Laurent Tuel;France;French;2009;Crime;Drama;Thriller;Jean Reno;Gaspard Ulliel;Vahina Giocante;0;http://www.imdb.com/title/tt1130993/;LE PREMIER CERCLE;1
60;60;Erik Canuel;Canada;French;2004;Crime;Drama;0;Michel Cote;Jean Lapointe;Christopher Heyerdahl;0;http://www.imdb.com/title/tt0373788/;LE DERNIER TUNNEL;1
61;61;Vincenzo Natali;Canada;English;2009;Drama;Sci-Fi;Thriller;Adrien Brody;Sarah Polley;Delphine Chaneac;30000000;http://www.imdb.com/title/tt1017460/;SPLICE;5
62;62;Albert Hughes;United States;English;2010;Action;Adventure;Drama;Denzel Washington;Gary Oldman;Mila Kunis;80000000;http://www.imdb.com/title/tt1037705/;THE BOOK OF ELI;2
63;63;Jasmine Dellal;United States;English;2007;Documentary;Music;0;Fanfare Ciocarlia;Taraf de Haidouks;Johnny Depp;0;http://www.imdb.com/title/tt0412796/;WHEN THE ROAD BENDS;3
64;64;Jez Butterworth;United States;English;2001;Comedy;Crime;Romance;Nicole Kidman;Ben Chaplin;Vincent Cassel;13000000;http://www.imdb.com/title/tt0188453/;BIRTHDAY GIRL;2
65;65;Nicholas Stoller;United States;English;2010;Comedy;0;0;Jonah Hill;Russell Brand;Elisabeth Moss;40000000;http://www.imdb.com/title/tt1226229/;GET HIM TO THE GREEK;5
66;66;Robert Rodriguez;United States;English;2010;Action;Adventure;Crime;Danny Trejo;Steven Seagal;Michelle Rodriguez;20000000;http://www.imdb.com/title/tt0985694/;MACHETE;10
67;67;Matthew Vaughn;United Kingdom;English;2010;Action;Crime;Thriller;Aaron Johnson;Christopher Mintz-Plasse;Nicolas Cage;28000000;http://www.imdb.com/title/tt1250777/;KICK-ASS;12
68;68;Adam McKay;United States;English;2010;Action;Comedy;Crime;Will Ferrell;Mark Wahlberg;Eva Mendes;100000000;http://www.imdb.com/title/tt1386588/;THE OTHER GUYS;4
69;69;Gus Van Sant;United States;English;2008;Biography;Drama;0;Sean Penn;Emile Hirsch;Josh Brolin;20000000;http://www.imdb.com/title/tt1013753/;MILK;3
70;70;Julian Schnabel;United States;English;1996;Biography;Drama;0;Jeffrey Wright;David Bowie;Benicio del Toro;3300000;http://www.imdb.com/title/tt0115632/;BASQUIAT;2
71;71;Jeffrey Porter;Canada;English;2002;Comedy;Romance;Drama;Elijah Wood;Franka Potente;Mandy Moore;0;http://www.imdb.com/title/tt0311941/;TRY SEVENTEEN;1
72;72;Spike Jonze;United States;English;1999;Comedy;Drama;Fantasy;John Cusack;Cameron Diaz;Catherine Keener;13000000;http://www.imdb.com/title/tt0120601/;BEING JOHN MALKOVICH;1
73;73;Andy Tennant;United States;English;2005;Comedy;Romance;0;Will Smith;Eva Mendes;Kevin James;70000000;http://www.imdb.com/title/tt0386588/;HITCH;6
74;74;Ridley Scott;United Kingdom;English;2005;Action;Adventure;History;Orlando Bloom;Eva Green;Jeremy Irons;147000000;http://www.imdb.com/title/tt0320661/;KINGDOM OF HEAVEN;3
75;75;Mary Harron;United States;English;2000;Crime;Drama;Thriller;Christian Bale;Willem Dafoe;Reese Witherspoon;7000000;http://www.imdb.com/title/tt0144084/;AMERICAN PSYCHO;3
76;76;Clint Eastwood;United States;English;2008;Drama;Mystery;Thriller;Angelina Jolie;Jeffrey Donovan;John Malkovich;55000000;http://www.imdb.com/title/tt0824747/;CHANGELING;1
77;77;Jeff Stilson;United States;English;2009;Documentary;Comedy;0;Chris Rock;Raven-Symone;Nia Long;0;http://www.imdb.com/title/tt1213585/;GOOD HAIR;4
78;78;Zack Snyder;United States;English;2009;Action;Crime;Fantasy;Malin Akerman;Billy Crudup;Matthew Goode;130000000;http://www.imdb.com/title/tt0409459/;WATCHMEN;8
79;79;David Slade;United States;English;2010;Drama;Fantasy;Romance;Kristen Stewart;Robert Pattinson;Taylor Lautner;68000000;http://www.imdb.com/title/tt1325004/;ECLIPSE;3
80;80;Frank Coraci;United States;English;2006;Comedy;Drama;Fantasy;Adam Sandler;Kate Beckinsale;Christopher Walken;82500000;http://www.imdb.com/title/tt0389860/;CLICK;2
81;81;"Coky Giedroyc	";United Kingdom;English;2006;Biography;Drama;History;Anne-Marie Duff;Sienna Guillory;Ian Hart;10000000;http://www.imdb.com/title/tt0481459/;ELIZABETH THE VIRGIN QUEEN;1
82;82;Shekhar Kapur;United Kingdom;English;2007;Biography;Drama;History;Cate Blanchett;Geoffrey Rush;Clive Owen;55000000;http://www.imdb.com/title/tt0414055/;ELIZABETH THE GOLDEN AGE;1
83;83;Ridley Scott;United States;English;2010;Action;Adventure;Drama;Russell Crowe;Cate Blanchett;Matthew Macfadyen;200000000;http://www.imdb.com/title/tt0955308/;ROBIN HOOD;6
84;84;Terrence Malick;United States;English;1998;Action;Drama;War;Jim Caviezel;Sean Penn;Adrien Brody;52000000;http://www.imdb.com/title/tt0120863/;THE THIN RED LINE;3
85;85;Tony Scott;United States;English;2001;Action;Crime;Thriller;Robert Redford;Brad Pitt;Catherine McCormack;92000000;http://www.imdb.com/title/tt0266987/;SPY GAME;3
86;86;Luc Besson;France;French;2010;Action;Adventure;Fantasy;Louise Bourgoin;Gilles Lellouche;Philippe Nahon;25000000;http://www.imdb.com/title/tt1179025/;THE EXTRAORDINARY ADVENTURES OF ADELE BLANC-SEC;5
87;87;Philip Kaufman;United States;English;2004;Crime;Drama;Mystery;Ashley Judd;Samuel L. Jackson;Andy Garcia;50000000;http://www.imdb.com/title/tt0315297/;TWISTED;1
88;88;David Kendall;United States;English;2005;Comedy;0;0;Milo Ventimiglia;Lacey Chabert;Tom Amandes;0;http://www.imdb.com/title/tt0407732/;DIRTY DEEDS;2
89;89;Joe Johnston;United States;English;2004;Action;Adventure;Drama;Viggo Mortensen;Omar Sharif;Zuleikha Robinson;78000000;http://www.imdb.com/title/tt0317648/;HIDALGO;3
90;90;Jonathan Demme;United States;English;2002;Mystery;Thriller;0;Jonathan Demme;Steve Schmidt;Peter Stone;0;http://www.imdb.com/title/tt0270707/;THE TRUTH ABOUT CHARLIE;1
91;91;Antoine Fuqua;United States;English;2004;Action;Adventure;History;Clive Owen;Keira Knightley;Ioan Gruffudd;90000000;http://www.imdb.com/title/tt0349683/;KING ARTHUR;3
92;92;Werner Herzog;United States;English;2009;Crime;Thriller;0;Nicolas Cage;Eva Mendes;Val Kilmer;25000000;http://www.imdb.com/title/tt1095217/;THE BAD LIEUTENANT:PORT OF CALL - NEW ORLEANS;1
93;93;Agnieszka Wojtowicz-Vosloo;United States;English;2010;Drama;Mystery;Thriller;Christina Ricci;Liam Neeson;Justin Long;4500000;http://www.imdb.com/title/tt0838247/;AFTER.LIFE;1
94;94;Joe Wright;United States;English;2009;Drama;Biography;Music;Jamie Foxx;Robert Downey Jr.;Catherine Keener;60000000;http://www.imdb.com/title/tt0821642/;THE SOLOIST;3
95;95;Bryan Singer;United States;English;2009;Drama;History;Thriller;Tom Cruise;Kenneth Branagh;Bill Nighy;90000000;http://www.imdb.com/title/tt0985699/;VALKYRIE;3
96;96;Rob Stefaniuk;Canada;English;2009;Comedy;Horror;Music;Malcolm McDowell;Iggy Pop;Alice Cooper;0;http://www.imdb.com/title/tt1323605/;SUCK;1
97;97;Alan Parker;United States;English;2003;Drama;Crime;Thriller;Kevin Spacey;Kate Winslet;Laura Linney;50000000;http://www.imdb.com/title/tt0289992/;THE LIFE OF DAVID GALE;1
98;98;Michel Gondry;United States;English;2004;Drama;Romance;Fantasy;Jim Carrey;Kate Winslet;Kirsten Dunst;20000000;http://www.imdb.com/title/tt0338013/;ETERNAL SUNSHINE OF THE SPOTLESS MIND;5
99;99;Jon Favreau;United States;English;2010;Action;Adventure;Sci-Fi;Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;190000000;http://www.imdb.com/title/tt1228705/;IRON MAN 2;10
100;100;Nicolas Roeg;United Kingdom;English;1973;Drama;Horror;Mystery;Julie Christie;Donald Sutherland;Hilary Mason;1500000;http://www.imdb.com/title/tt0069995/;DON\'T LOOK NOW;1
101;101;Alexandre Aja;United States;English;2010;Comedy;Horror;Thriller;Elisabeth Shue;Adam Scott;Jerry OConnell;24000000;http://www.imdb.com/title/tt0464154/;PIRAHNA 3D;2
102;102;Zivko Nikolic;Yugoslavia;Srbscina;1986;Drama;0;0;Mira Furlan;Milutin Karadzic;Petar Bozovic;0;http://www.imdb.com/title/tt0091398/;LEPOTA POROKA;4
103;103;Daniel Monzon;Spain;Spanish;2009;Action;Drama;0;Luis Tosar;Alberto Ammann;Antonio Resines;3500000;http://www.imdb.com/title/tt1242422/;CELDA 211;1
104;104;Nimrod Antal;United States;English;2010;Action;Adventure;Sci-Fi;Adrien Brody;Laurence Fishburne;Topher Grace;40000000;http://www.imdb.com/title/tt1424381/;PREDATORS;5
105;105;Robert Redford;United States;English;1980;Drama;0;0;Donald Sutherland;Mary Tyler Moore;Timothy Hutton;6000000;http://www.imdb.com/title/tt0081283/;ORDINARY PEOPLE;1
106;106;Adam Goldberg;United States;English;2005;Drama;Mystery;0;Giovanni Ribisi;Franka Potente;Christina Ricci;1600000;http://www.imdb.com/title/tt0322700/;I LOVE YOUR WORK;3
107;107;Nora Ephron;United States;English;2005;Comedy;Fantasy;Romance;Nicole Kidman;Will Ferrell;Shirley MacLaine;85000000;http://www.imdb.com/title/tt0374536/;BEWITCHED;3
108;108;Steven Spielberg;United States;English;2008;Action;Adventure;Thriller;Harrison Ford;Shia LaBeouf;Cate Blanchett;185000000;http://www.imdb.com/title/tt0367882/;INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;7
109;109;Peter Hewitt;United States;English;2009;Comedy;Crime;0;Christopher Walken;Morgan Freeman;William H. Macy;20000000;http://www.imdb.com/title/tt1107860/;THE MAIDEN HEIST;5
110;110;Robert Zemeckis;United States;English;1992;Comedy;Fantasy;0;Goldie Hawn;Meryl Streep;Bruce Willis;55000000;http://www.imdb.com/title/tt0104070/;DEATH BECOMES HER;3
111;111;Tomm Moore;Ireland;English;2009;Animation;Adventure;Fantasy;Brendan Gleeson;Evan McGuire;Christen Mooney;6500000;http://www.imdb.com/title/tt0485601/;THE SECRET OF KELLS;4
112;112;Steven Spielberg;United States;English;1984;Action;Adventure;0;Harrison Ford;Kate Capshaw;Jonathan Ke Quan;28170000;http://www.imdb.com/title/tt0087469/;INDIANA JONES AND THE TEMPLE OF DOOM;6
113;113;Bruce A. Evans;United States;English;2007;Crime;Mystery;Thriller;Kevin Costner;Demi Moore;Dane Cook;20000000;http://www.imdb.com/title/tt0780571/;MR BROOKS;4
114;114;Jon Turteltaub;United States;English;2004;Action;Adventure;Mystery;Nicolas Cage;Harvey Keitel;Jon Voight;100000000;http://www.imdb.com/title/tt0368891/;NATIONAL TREASURE;7
115;115;Neill Blomkamp;United States;English;2009;Action;Drama;Sci-Fi;Sharlto Copley;Jason Cope;David James;30000000;http://www.imdb.com/title/tt1136608/;DISTRICT 9 ;9
116;116;Colin Strause;United States;English;2007;Action;Sci-Fi;Thriller;Steven Pasquale;Reiko Aylesworth;John Ortiz;40000000;http://www.imdb.com/title/tt0758730/;ALIENS VS PREDATOR: REQUIEM;3
117;117;Yojiro Takita;Japan;Japanese;2008;Drama;Music;0;Masahiro Motoki;Ryoko Hirosue;Tsutomu Yamazaki;0;http://www.imdb.com/title/tt1069238/;OKURIBITO;1
118;118;Luis Mandoki;United States;English;1990;Drama;Romance;0;Susan Sarandon;James Spader;Jason Alexander;0;http://www.imdb.com/title/tt0103251/;WHITE PALACE;1
119;119;Paul Verhoeven;Netherlands;Dutch;2007;Drama;Thriller;War;Carice van Houten;Sebastian Koch;Thom Hoffman;21000000;http://www.imdb.com/title/tt0389557/;ZWARTBOEK;1
120;120;John Badham;United States;English;1983;Action;Crime;Thriller;Roy Scheider;Malcolm McDowell;Warren Oates;0;http://www.imdb.com/title/tt0085255/;BLUE THUNDER;3
121;121;Makoto Kamiya;Japan;Japanese;2008;Animation;Action;Sci-Fi;Paul Mercier;Alyson Court;Laura Bailey;0;http://www.imdb.com/title/tt1174954/;RESIDENT EVIL: DEGENERATION;1
122;122;Shane Acker;United States;English;2009;Animation;Adventure;Fantasy;Elijah Wood;John C. Reilly;Jennifer Connelly;30000000;http://www.imdb.com/title/tt0472033/;9;5
123;123;Tony Gilroy;United States;English;2007;Crime;Drama;Thriller;George Clooney;Tom Wilkinson;Tilda Swinton;25000000;http://www.imdb.com/title/tt0465538/;MICHAEL CLAYTON;3
124;124;Greg Mottola;United States;English;2007;Comedy;0;0;Jonah Hill;Michael Cera;Christopher Mintz-Plasse;20000000;http://www.imdb.com/title/tt0829482/;SUPERBAD;5
125;125;Bruce Paltrow;United States;English;2000;Comedy;Drama;Music;Gwyneth Paltrow;Huey Lewis;Paul Giamatti;16000000;http://www.imdb.com/title/tt0134630/;DUETS;2
126;126;Branko Duric;Slovenia;Slovenian;2003;Drama;Comedy;0;Branko Duric;Tanja Ribic;Igor Samobor;0;http://www.imdb.com/title/tt0333701/;KAJMAK I MARMELADA;5
127;127;Jaume Balaguero;Spain;Spanish;2009;Horror;Thriller;0;Manuela Velasco;Jonathan Mellor;Oscar Sanchez Zafra;0;http://www.imdb.com/title/tt1245112/;REC 2;2
128;128;Wilson Yip;Hong Kong;Cantonese;2009;Action;Biography;Drama;Donnie Yen;Simon Yam;Lynn Hung;11700000;http://www.imdb.com/title/tt1220719/;IP MAN;4
129;129;Michael Bay;United States;English;1998;Action;Adventure;Sci-Fi;Bruce Willis;Ben Affleck;Billy Bob Thornton;140000000;http://www.imdb.com/title/tt0120591/;ARMAGEDDON;8
130;130;David Yates;United Kingdom;English;2009;Action;Adventure;Fantasy;Daniel Radcliffe;Rupert Grint;Emma Watson;250000000;http://www.imdb.com/title/tt0417741/;HARRY POTTER AND THE HALF BLOOD PRINCE;8
131;131;Ivona Juka;Croatia;Croatian;2006;Documentary;0;0;0;0;0;100000;http://www.imdb.com/title/tt0929284/;STO SA SOBOM PREKO DANA;3
132;132;Curtis Hanson;United States;English;1994;Action;Adventure;Crime;Meryl Streep;Kevin Bacon;David Strathairn;45000000;http://www.imdb.com/title/tt0110997/;THE RIVER WILD;1
133;133;Richard Stanley;United Kingdom;English;1990;Horror;Sci-Fi;0;Dylan McDermott;Stacey Travis;Iggy Pop;1500000;http://www.imdb.com/title/tt0099740/;HARDWARE;1
134;134;Noah Baumbach;United States;English;2010;Drama;Comedy;0;Ben Stiller;Greta Gerwig;Rhys Ifans;5372848;http://www.imdb.com/title/tt1234654/;GREENBERG;1
135;135;Quentin Tarantino;United States;English;2009;Drama;Thriller;War;Brad Pitt;Christoph Waltz;Michael Fassbender;70000000;http://www.imdb.com/title/tt0361748/;INGLOURIOUS BASTERDS;5
136;136;Dwight H. Little;Japan;English;2010;Action;Adventure;Drama;Jon Foo;Kelly Overton;Cary-Hiroyuki Tagawa;35000000;http://www.imdb.com/title/tt0411951/;TEKKEN;3
137;137;Sylvain White;United States;English;2010;Action;Adventure;Crime;Jeffrey Dean Morgan;Zoe Saldana;Chris Evans;25000000;http://www.imdb.com/title/tt0480255/;THE LOSERS;1
138;138;Martin Scorsese;United States;English;2010;Drama;Mystery;Thriller;Leonardo DiCaprio;Ben Kingsley;Mark Ruffalo;80000000;http://www.imdb.com/title/tt1130884/;SHUTTER ISLAND;10
139;139;Clint Eastwood;United States;English;1985;Action;Western;0;Clint Eastwood;Michael Moriarty;Carrie Snodgress;6900000;http://www.imdb.com/title/tt0089767/;PALE RIDER;1
140;140;Stephen Hillenburg;United States;English;2004;Animation;Adventure;Comedy;Tom Kenny;Bill Fagerbakke;Doug Lawrence;30000000;http://www.imdb.com/title/tt0345950/;THE SPONGEBOB SQUAREPANTS MOVIE;3
141;141;Henry Selick;United States;English;2009;Animation;Adventure;Fantasy;Dakota Fanning;Teri Hatcher;Jennifer Saunders;60000000;http://www.imdb.com/title/tt0327597/;CORALINE;7
142;142;Gavin Hood;United States;English;2009;Action;Fantasy;Sci-Fi;Hugh Jackman;Liev Schreiber;Danny Huston;150000000;http://www.imdb.com/title/tt0458525/;X-MEN ORIGINS: WOLVERINE;7
143;143;Nenad Duric;BIH;Bosanski;2006;Comedy;0;0;Audrey Hamm;Aleksandar Seksan;Haris Burina;0;http://www.imdb.com/title/tt0808393/;NEBO IZNAD KRAJOLIKA;2
